regime,feature_level,n_template_dims,classifier,n_folds,accuracy_mean,accuracy_std,accuracy_ci_lo,accuracy_ci_hi,auc_mean,auc_std,auc_ci_lo,auc_ci_hi,eer_mean,eer_std,eer_ci_lo,eer_ci_hi,precision_mean,precision_std,precision_ci_lo,precision_ci_hi,recall_mean,recall_std,recall_ci_lo,recall_ci_hi,f1_mean,f1_std,f1_ci_lo,f1_ci_hi,ap_mean,ap_std,ap_ci_lo,ap_ci_hi,rank_1_accuracy_mean,rank_5_accuracy_mean,rank_10_accuracy_mean,rank_20_accuracy_mean
identity,3,104,MLP,25,0.8906000000000002,0.014528707214798335,0.8744521644014851,0.9067478355985152,0.9970611212121213,0.0008152411042791624,0.9961550268755486,0.997967215548694,0.009986161616161619,0.0022290375002984963,0.00750871262048752,0.012463610611835717,0.8918711005731869,0.01477691817850404,0.8754473925397461,0.9082948086066276,0.8906000000000002,0.0145287072147983,0.8744521644014851,0.9067478355985152,0.8882445829218283,0.015307311255765031,0.8712313730085866,0.90525779283507,0.9317049577275499,0.01285659691820285,0.9174155780654657,0.9459943373896341,0.8906000000000002,0.98002,0.9914799999999999,0.9970200000000001
identity,3,104,LR,25,0.9442,0.0038487010795851743,0.9399223866251729,0.9484776133748272,0.9981046060606061,0.000594568241516826,0.9974437771186936,0.9987654350025187,0.004554949494949497,0.0008202385609116709,0.0036433007682359878,0.005466598221663006,0.9471353448140479,0.0033434958773096613,0.943419238421862,0.9508514512062338,0.9442,0.0038487010795851583,0.9399223866251729,0.9484776133748272,0.9444977477563858,0.0036737281718639816,0.940414606863267,0.9485808886495046,0.9688703043616422,0.002612997817068486,0.9659661052098881,0.9717745035133963,0.9442,0.9901599999999999,0.99496,0.99806
identity,3,104,SVM,25,0.9347999999999999,0.005820223363411387,0.9283311512146601,0.9412688487853396,0.9987821616161616,0.00034034829544855074,0.998403883752902,0.9991604394794212,0.006183232323232326,0.001210583401247957,0.004837737403923045,0.007528727242541606,0.9416306817913889,0.004794258248709395,0.9363021351511117,0.946959228431666,0.9347999999999999,0.005820223363411395,0.9283311512146601,0.9412688487853396,0.9361438695715273,0.005536425963620218,0.9299904455302727,0.9422972936127819,0.975950488750569,0.0033467754178143436,0.9722307373347671,0.9796702401663709,0.9475800000000001,0.98146,0.9888000000000001,0.99342
identity,3,104,DT,25,0.8448,0.007504165509901831,0.8364595448468727,0.8531404551531273,0.922103898989899,0.0037968435279981012,0.9178839223480026,0.9263238756317953,0.07787040404040405,0.003782307190242355,0.07366658371502055,0.08207422436578754,0.8520426084063395,0.0072988398185252976,0.8439303611356811,0.8601548556769979,0.8448,0.007504165509901784,0.8364595448468728,0.8531404551531272,0.8448513698418616,0.007653149721375658,0.8363453271716838,0.8533574125120394,0.7404281683368503,0.01183115975322122,0.7272785040336017,0.7535778326400989,0.8448,0.85066,0.85992,0.88896
identity,3,104,RF,25,0.9543799999999999,0.004430669625839123,0.9494555615312756,0.9593044384687242,0.9989093787878788,0.00040953937869216286,0.9984541989525041,0.9993645586232535,0.0030545454545454548,0.0007674635314339573,0.002201553185499761,0.003907537723591148,0.9565174697070161,0.004087862564287326,0.9519740418808843,0.9610608975331479,0.95438,0.004430669625839142,0.9494555615312757,0.9593044384687243,0.9544509726024892,0.0043979836575640295,0.9495628627371487,0.9593390824678297,0.9760136133786994,0.0017239885319795963,0.9740974977204682,0.9779297290369307,0.95438,0.99328,0.9970800000000001,0.9986600000000001
identity,4,130,MLP,25,0.8811,0.016607603680242368,0.8626415886665612,0.8995584113334388,0.9970722424242424,0.0009177138509858012,0.9960522554306919,0.998092229417793,0.010224848484848488,0.002491626762733452,0.0074555463891672474,0.012994150580529728,0.8833094838733742,0.016622806896110193,0.8648341750261529,0.9017847927205954,0.8811000000000001,0.016607603680242337,0.8626415886665613,0.899558411333439,0.8782278856581661,0.017552896056473213,0.8587188353615883,0.8977369359547439,0.927625763333998,0.014302908931331166,0.9117288897451062,0.9435226369228898,0.8811,0.97934,0.9914200000000001,0.9965999999999999
identity,4,130,LR,25,0.9403199999999999,0.0039761790704141925,0.9359007020549008,0.944739297945099,0.9978570909090909,0.0006747412211271925,0.9971071542389373,0.9986070275792446,0.00499808080808081,0.000902986507856427,0.003994462422703,0.00600169919345862,0.9433273523256679,0.003761032060468992,0.9391471781026415,0.9475075265486943,0.9403199999999999,0.003976179070414198,0.9359007020549008,0.944739297945099,0.9406382627738371,0.003912780315954923,0.9362894289553133,0.9449870965923609,0.9664931899447364,0.002645151822309282,0.9635532534363969,0.969433126453076,0.9403199999999999,0.98988,0.99444,0.9979
identity,4,130,SVM,25,0.9321200000000001,0.005918333098657628,0.9255421077979304,0.9386978922020697,0.9986844646464648,0.0003939919197370151,0.9982465649315764,0.9991223643613532,0.006595151515151517,0.00125304460355248,0.005202463373211228,0.007987839657091808,0.9395249073505493,0.004702216454818285,0.9342986599536922,0.9447511547474063,0.9321200000000001,0.005918333098657659,0.9255421077979304,0.9386978922020697,0.9335877972065859,0.0056151892192424085,0.9273468322654984,0.9398287621476734,0.9738595276552389,0.0037448961302939164,0.9696972876051464,0.9780217677053313,0.9447199999999999,0.9804400000000001,0.9880199999999999,0.99334
identity,4,130,DT,25,0.83226,0.007793052461434258,0.8235984633541471,0.8409215366458529,0.9157529494949495,0.003941686442571332,0.9113719881530685,0.9201339108368304,0.08422282828282829,0.003937041749521557,0.07984702925433594,0.08859862731132064,0.8399290423304758,0.007824263991609213,0.8312328158357195,0.8486252688252321,0.83226,0.00779305246143424,0.8235984633541471,0.8409215366458529,0.8323764795976889,0.008000983924833702,0.8234838389012764,0.8412691202941014,0.7207151221931621,0.012681054910720371,0.7066208475349542,0.73480939685137,0.83226,0.8389399999999999,0.84804,0.8785799999999999
identity,4,130,RF,25,0.9506000000000001,0.005018714974971181,0.9450219824149878,0.9561780175850124,0.9986812727272728,0.0004485207682659404,0.998182767284125,0.9991797781704206,0.003846161616161617,0.0008693885296585296,0.0028798854815677948,0.004812437750755439,0.9528653758064158,0.0045310830329158445,0.9478293335201331,0.9579014180926986,0.9506000000000001,0.005018714974971187,0.9450219824149878,0.9561780175850124,0.9506832482456111,0.004981581480378979,0.9451465024377094,0.9562199940535129,0.9732657115368215,0.0021644633273396954,0.9708600330788444,0.9756713899947986,0.9506000000000001,0.99202,0.9963400000000001,0.99848
identity,5,156,MLP,25,0.8796399999999999,0.012643773171011882,0.865587161884957,0.8936928381150427,0.9971984949494949,0.0006228006121801789,0.9965062873258257,0.997890702573164,0.010335959595959598,0.0013955258243627338,0.00878491164295668,0.011887007548962516,0.8826456444618622,0.012125197055858017,0.869169174342197,0.8961221145815275,0.87964,0.012643773171011863,0.8655871618849572,0.8936928381150427,0.8773453058925608,0.012964309126489054,0.8629362102085592,0.8917544015765624,0.9303345132000632,0.00826601117660696,0.9211473097165088,0.9395217166836176,0.8796399999999999,0.9772,0.9902600000000001,0.9970600000000001
