feature_level,population,abs_correlation
6,mated,0.6403099563212025
6,mated,0.639620572294272
6,mated,0.6405895667128647
6,mated,0.6215871872047941
6,mated,0.6671334431152772
6,mated,0.6503958884997996
6,mated,0.6570982063190813
6,mated,0.7025135979127476
6,mated,0.6642912268945645
6,mated,0.6071250803188605
6,mated,0.6393456223636542
6,mated,0.6712788063443209
6,mated,0.6456186286101211
6,mated,0.6485943130332888
6,mated,0.6301025058846278
6,mated,0.5992320028215096
6,mated,0.6627496068092477
6,mated,0.6401227424912204
6,mated,0.6347827629847589
6,mated,0.6444208314385206
6,mated,0.620844827291871
6,mated,0.6482587685514704
6,mated,0.6439221718175825
6,mated,0.6335474783601251
6,mated,0.6233530339282984
6,mated,0.6334633977617077
6,mated,0.6245249242157184
6,mated,0.6290093070509645
6,mated,0.6588760366686429
6,mated,0.592081534335781
6,mated,0.6199376400052741
6,mated,0.7205983751581463
6,mated,0.702934829715016
6,mated,0.6723317874431788
6,mated,0.6255214899683179
6,mated,0.6423003973058001
6,mated,0.5899512294409653
6,mated,0.6201642842385162
6,mated,0.5682680333654874
6,mated,0.6026842108021586
6,mated,0.624923471965622
6,mated,0.6750776712073024
6,mated,0.6502969231135691
6,mated,0.6120070355254995
6,mated,0.6456695660760153
6,mated,0.6293317597263989
6,mated,0.6264651764404973
6,mated,0.6523446291937531
6,mated,0.6302044517804762
6,mated,0.599109464159677
6,mated,0.6400311949729247
6,mated,0.6764767556788434
6,mated,0.6531001761571709
6,mated,0.6648123425693341
6,mated,0.6528083800291223
6,mated,0.6456987187365936
6,mated,0.6266520292395549
6,mated,0.6360161344437816
6,mated,0.7063907234388516
6,mated,0.7051214500277915
6,mated,0.6282229943134351
6,mated,0.6573541294076239
6,mated,0.678482440857485
6,mated,0.5902524207734211
6,mated,0.6223770994414523
6,mated,0.575497730113376
6,mated,0.666632560641717
6,mated,0.6037721714204859
6,mated,0.6409671315303319
6,mated,0.6311777930416094
6,mated,0.6150314227546171
6,mated,0.5897920811486506
6,mated,0.6125285269436211
6,mated,0.6534106465117695
6,mated,0.6539245700600753
6,mated,0.5876359693163319
6,mated,0.6501050379116913
6,mated,0.6228613322288538
6,mated,0.5318442921305852
6,mated,0.524775282117849
6,mated,0.5844858165031063
6,mated,0.5811160780945798
6,mated,0.6238878513885234
6,mated,0.6277878294384343
6,mated,0.625483955270563
6,mated,0.6105987979510396
6,mated,0.5875007774608154
6,mated,0.6579012136063972
6,mated,0.6043446260453396
6,mated,0.62768403482918
6,mated,0.6712654540872268
6,mated,0.6317571246900213
6,mated,0.6297561826436394
6,mated,0.614386618361972
6,mated,0.6208212428759391
6,mated,0.5818671944025028
6,mated,0.6545174402129105
6,mated,0.6056314797860342
6,mated,0.611071976760006
6,mated,0.6666045315319769
6,mated,0.5994259921810731
6,mated,0.5808678469298183
6,mated,0.637586459726997
6,mated,0.5920359057879664
6,mated,0.5737506581467662
6,mated,0.5840254409972291
6,mated,0.5961629805388388
6,mated,0.642709020639101
6,mated,0.6223081506540047
6,mated,0.6223050065818209
6,mated,0.6245351745140416
6,mated,0.5986353943453305
6,mated,0.6078345407683675
6,mated,0.6051320848233276
6,mated,0.594919677058718
6,mated,0.581576918234128
6,mated,0.5979422115763247
6,mated,0.5948210962118528
6,mated,0.6031036697443117
6,mated,0.599251894852136
6,mated,0.624721733517953
6,mated,0.5913260917432948
6,mated,0.6305383593089859
6,mated,0.6611227364450276
6,mated,0.6090192552464616
6,mated,0.588409954351869
6,mated,0.6160432565050018
6,mated,0.5783936358831929
6,mated,0.5938330676036703
6,mated,0.6130055652774241
6,mated,0.626757167607352
6,mated,0.6366870056980141
6,mated,0.6232226410729523
6,mated,0.5830408849291615
6,mated,0.5977124750545645
6,mated,0.5832684426734649
6,mated,0.6125442089185962
6,mated,0.6348349292349244
6,mated,0.5859779473477449
6,mated,0.6013952497378351
6,mated,0.6222832751319564
6,mated,0.6221729200585832
6,mated,0.5574813134268412
6,mated,0.6660693544777332
6,mated,0.6349906808535489
6,mated,0.588437199137257
6,mated,0.6300636992283337
6,mated,0.6098141131251428
6,mated,0.6813474618690774
6,mated,0.6450722552716056
6,mated,0.6007514043298606
6,mated,0.630724219852113
6,mated,0.5995188642185549
6,mated,0.6047003800988685
6,mated,0.596272106755767
6,mated,0.6448626175390819
6,mated,0.6361362849177007
6,mated,0.5919916616117893
6,mated,0.6494554560442399
6,mated,0.6419971700673468
6,mated,0.5933718531687654
6,mated,0.6165198863186192
6,mated,0.623237345667432
6,mated,0.6948326868136959
6,mated,0.5979859625841628
6,mated,0.6040163113037658
6,mated,0.6211657915713604
6,mated,0.6379397463710603
6,mated,0.6683462875036508
6,mated,0.7048643233613024
6,mated,0.6834395943400181
6,mated,0.6884469904068863
6,mated,0.6402480315658593
6,mated,0.6609671991844157
6,mated,0.68563463524008
6,mated,0.6716141871969643
6,mated,0.688767847846404
6,mated,0.6781041867068404
6,mated,0.6771201332608835
6,mated,0.6758374086535189
6,mated,0.6361269939537046
6,mated,0.6379843449246407
6,mated,0.6765803289826043
6,mated,0.6493779396912758
6,mated,0.6566257715201564
6,mated,0.6870936200577853
6,mated,0.6582829322865501
6,mated,0.6921182906994262
6,mated,0.6759660837663669
6,mated,0.6661427789729888
6,mated,0.6416387724251108
6,mated,0.6561062116323325
6,mated,0.6515569561425513
6,mated,0.6713065182445588
6,mated,0.6888457753360705
6,mated,0.6422457277467402
6,mated,0.680726448365954
6,mated,0.7053698395722217
6,mated,0.699651074546837
6,mated,0.6651995191878792
6,mated,0.6663680157292684
6,mated,0.6836722983752461
6,mated,0.6767534397702686
6,mated,0.6742777402194778
6,mated,0.6903917074266959
6,mated,0.6906333397497999
6,mated,0.6689314782055646
6,mated,0.7064195053033154
6,mated,0.6927824011428579
6,mated,0.6618506230193668
6,mated,0.665513652551572
6,mated,0.6890030020811871
6,mated,0.679898186362376
6,mated,0.6709904830145217
6,mated,0.6997546278608664
6,mated,0.6921514087002701
6,mated,0.6613907209458788
6,mated,0.627023313851248
6,mated,0.6729819989098604
6,mated,0.7145502843465287
6,mated,0.6935833218745889
6,mated,0.6723893786971589
6,mated,0.66830246376288
6,mated,0.6430929350584549
6,mated,0.6730190828529455
6,mated,0.6151906621201703
6,mated,0.684351032934317
6,mated,0.6719565996203752
6,mated,0.6453234862671342
6,mated,0.6930753387415943
6,mated,0.6747217458108551
6,mated,0.6812986156533759
6,mated,0.6538855542980531
6,mated,0.6821942899638022
6,mated,0.680742908797203
6,mated,0.6711405667036902
6,mated,0.6370099736227021
6,mated,0.6524899146096681
6,mated,0.6965983944096216
6,mated,0.6576202278666246
6,mated,0.7104849822990092
6,mated,0.6604375332232771
6,mated,0.706013403388102
6,mated,0.6517593898972653
6,mated,0.6416472247259365
6,mated,0.6734165749781937
6,mated,0.6374940098451929
6,mated,0.6572726425868428
6,mated,0.6911721315072429
6,mated,0.6472586066554109
6,mated,0.6895612619332169
6,mated,0.6181357602931546
6,mated,0.6799022366644402
6,mated,0.6590144146570966
6,mated,0.6902757337786143
6,mated,0.6909906881699321
6,mated,0.6666991077253128
6,mated,0.713177094317843
6,mated,0.7120524383968913
6,mated,0.7081734182002006
6,mated,0.6931343597337248
6,mated,0.696300898920124
6,mated,0.6783844941922712
6,mated,0.6325522986042181
6,mated,0.6429275419517526
6,mated,0.6455419592962357
6,mated,0.625997487653664
6,mated,0.6424353197869656
6,mated,0.6606204698912166
6,mated,0.6058830443893246
6,mated,0.6484926580778508
6,mated,0.6132223378969638
6,mated,0.6150187142980279
6,mated,0.6583708671864661
6,mated,0.6407758351833152
6,mated,0.627901439795024
6,mated,0.6348459280411235
6,mated,0.6116049405835362
6,mated,0.6239358912620017
6,mated,0.6411966973428194
6,mated,0.6136856704106763
6,mated,0.6443464569420385
6,mated,0.6231618296542348
6,mated,0.6404712146309667
6,mated,0.6809396136040828
6,mated,0.6531789711260055
6,mated,0.6291784146351579
6,mated,0.6518855087620632
6,mated,0.6389893061740116
6,mated,0.6478795173294692
6,mated,0.6556092104197166
6,mated,0.6548271031126458
6,mated,0.6253804191575627
6,mated,0.6236107662426342
6,mated,0.6257504020519805
6,mated,0.6062148176798656
6,mated,0.648932519034408
6,mated,0.642983351335808
6,mated,0.6264948117929183
6,mated,0.6149244769521967
6,mated,0.6305784614291209
6,mated,0.6322677701873916
6,mated,0.6454476185589652
6,mated,0.6156322109514553
6,mated,0.6564925333618777
6,mated,0.6519635492899098
6,mated,0.6436206069480398
6,mated,0.6214508725667968
6,mated,0.6282553992697252
6,mated,0.6387019439318107
6,mated,0.6302727611071959
6,mated,0.6256105541641782
6,mated,0.6259820303803528
6,mated,0.6387624643744498
6,mated,0.6348523801389594
6,mated,0.6260480287678071
6,mated,0.6240952769640483
6,mated,0.6522695263131101
6,mated,0.6552786837176009
6,mated,0.6345764329658359
6,mated,0.6422274039762219
6,mated,0.6568393085395462
6,mated,0.6502788501605065
6,mated,0.6611482965646457
6,mated,0.6466777799444948
6,mated,0.6367950983356891
6,mated,0.6224074464595489
