segment,feature_level,revocation,n_templates,in_dim,out_dim_per_template,stacked_rank,correlation,feature_recovery_energy_ratio
7804,6,shared_subspace,4,91,46,46,0.7679597290426995,0.5986632320344912
4924,6,independent,1,91,46,46,0.7527213983392984,0.5719617510683704
4924,6,independent,2,91,46,91,0.9999999999999999,0.9999999999999966
4924,6,independent,3,91,46,91,1.0,0.9999999999999989
4924,6,independent,4,91,46,91,1.0,0.9999999999999983
4924,6,shared_subspace,1,91,46,46,0.7239194876313544,0.5380405578427242
4924,6,shared_subspace,2,91,46,46,0.7239194876313542,0.5380405578427242
4924,6,shared_subspace,3,91,46,46,0.7239194876313542,0.5380405578427242
4924,6,shared_subspace,4,91,46,46,0.7239194876313544,0.5380405578427245
8310,6,independent,1,91,46,46,0.6397874124601882,0.4033275423591509
8310,6,independent,2,91,46,91,0.9999999999999997,0.9999999999999993
8310,6,independent,3,91,46,91,0.9999999999999999,1.000000000000001
8310,6,independent,4,91,46,91,0.9999999999999997,1.0000000000000002
8310,6,shared_subspace,1,91,46,46,0.7581729822398391,0.5817052331546276
8310,6,shared_subspace,2,91,46,46,0.758172982239839,0.5817052331546276
8310,6,shared_subspace,3,91,46,46,0.7581729822398389,0.5817052331546276
8310,6,shared_subspace,4,91,46,46,0.758172982239839,0.5817052331546272
5097,6,independent,1,91,46,46,0.7621651800812604,0.5750690760656526
5097,6,independent,2,91,46,91,0.9999999999999999,1.000000000000003
5097,6,independent,3,91,46,91,1.0,0.9999999999999982
5097,6,independent,4,91,46,91,1.0,0.9999999999999984
5097,6,shared_subspace,1,91,46,46,0.7150847019291054,0.48325264297078624
5097,6,shared_subspace,2,91,46,46,0.7150847019291056,0.48325264297078624
5097,6,shared_subspace,3,91,46,46,0.7150847019291057,0.4832526429707861
5097,6,shared_subspace,4,91,46,46,0.7150847019291053,0.48325264297078574
